"Time","Type","Expected Value","CVaR","Trading Cost","Maximum Value","Minimum Value","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2010-06-16","risk_neutral",902655.00,17376.58,1782.54,1133248.72,670718.10,0.00,0.00,891270.43,0.00,0.00,0.00,0.00,0.00,0.00,7652.46,0.00,0.00,0.00,0.00,0.00
"2010-07-14","risk_averse",879511.35,4288.64,276.35,927114.31,830041.75,288092.31,484995.07,1118.66,36909.76,5734.87,675.94,740.39,7335.63,22362.55,7224.10,7624.53,5412.04,5756.68,5049.04,0.00
"2010-07-14","risk_neutral",875545.65,19485.00,0.00,1130581.48,702006.04,0.00,0.00,864240.10,0.00,0.00,0.00,0.00,0.00,0.00,7224.10,0.00,0.00,0.00,0.00,0.00
"2010-08-11","risk_averse",894795.10,4089.74,0.00,943829.25,850364.05,291799.04,496902.41,1124.34,36300.91,5782.24,697.00,747.35,7363.24,22339.33,7390.31,7327.62,5332.00,5904.49,5116.87,0.00
"2010-08-11","risk_neutral",879975.28,18001.36,0.00,1122970.95,674369.73,0.00,0.00,868623.40,0.00,0.00,0.00,0.00,0.00,0.00,7390.31,0.00,0.00,0.00,0.00,0.00
"2010-09-08","risk_averse",896755.19,3993.85,0.00,939289.76,846980.19,293281.73,493900.13,1150.81,37502.37,5848.10,719.72,770.75,7528.87,22866.72,7751.11,7504.90,5514.69,6012.12,5680.70,0.00
"2010-09-08","risk_neutral",900689.22,17412.41,0.00,1149292.27,688419.91,0.00,0.00,889078.78,0.00,0.00,0.00,0.00,0.00,0.00,7751.11,0.00,0.00,0.00,0.00,0.00
"2010-10-06","risk_averse",923228.69,3879.84,130.16,970403.04,871329.10,299768.51,443476.66,66312.69,39583.28,6278.83,800.69,777.91,8071.77,23642.87,7944.34,7649.03,5821.79,6236.70,5862.99,0.00
"2010-10-06","risk_neutral",965819.50,17875.62,0.00,1182443.11,714523.72,0.00,0.00,953367.14,0.00,0.00,0.00,0.00,0.00,0.00,7944.34,0.00,0.00,0.00,0.00,0.00
"2010-11-03","risk_averse",931512.81,4170.93,0.00,979716.53,885185.07,299450.79,442944.16,69158.30,42048.44,6744.34,847.42,791.03,8811.59,24591.51,8417.30,7976.21,6186.31,6395.27,6104.64,0.00
"2010-11-03","risk_neutral",1007306.27,20099.33,0.00,1294054.28,783834.86,0.00,0.00,994277.92,0.00,0.00,0.00,0.00,0.00,0.00,8417.30,0.00,0.00,0.00,0.00,0.00
"2010-12-01","risk_averse",903877.35,3621.63,100.00,936447.98,850538.22,332523.05,425505.07,68751.78,0.00,7141.02,833.89,773.48,8292.61,24332.79,8130.82,7908.47,6357.69,6380.92,5939.30,0.00
"2010-12-01","risk_neutral",1001077.63,22980.23,0.00,1302454.81,851269.76,0.00,0.00,988433.52,0.00,0.00,0.00,0.00,0.00,0.00,8130.82,0.00,0.00,0.00,0.00,0.00
"2010-12-29","risk_averse",891161.78,3713.43,190.82,928768.84,851476.01,238537.78,414234.00,69717.25,0.00,7384.51,873.55,778.82,7852.77,24352.69,8261.90,8280.33,6498.62,47561.94,56045.29,0.00
"2010-12-29","risk_neutral",1014434.44,18759.30,0.00,1301875.86,811861.16,0.00,0.00,1002313.96,0.00,0.00,0.00,0.00,0.00,0.00,8261.90,0.00,0.00,0.00,0.00,0.00
"2011-01-26","risk_averse",891975.34,3993.59,0.00,922409.05,863976.55,239574.23,415964.60,65143.96,0.00,7715.32,800.22,798.69,7939.27,24289.67,8559.19,8558.50,6684.79,48462.77,56831.33,0.00
"2011-01-26","risk_neutral",949004.00,15825.06,0.00,1180130.74,703429.57,0.00,0.00,936564.50,0.00,0.00,0.00,0.00,0.00,0.00,8559.19,0.00,0.00,0.00,0.00,0.00
"2011-02-23","risk_averse",889903.90,3727.26,100.00,927583.55,851597.29,239089.09,463169.02,19514.00,0.00,8297.02,788.81,788.71,7574.88,24392.49,8545.68,8554.18,6749.17,46898.97,55023.42,0.00
"2011-02-23","risk_neutral",1011188.95,21563.07,0.00,1302201.58,794387.28,0.00,0.00,999391.76,0.00,0.00,0.00,0.00,0.00,0.00,8545.68,0.00,0.00,0.00,0.00,0.00
"2011-03-23","risk_averse",897363.15,3994.70,0.00,930858.46,863064.56,239993.22,464512.11,19884.88,0.00,8420.62,824.12,795.47,8034.96,24827.01,8434.87,8454.73,6862.27,48761.36,57145.75,0.00
"2011-03-23","risk_neutral",1030120.63,20010.18,0.00,1291439.30,764691.78,0.00,0.00,1018386.05,0.00,0.00,0.00,0.00,0.00,0.00,8434.87,0.00,0.00,0.00,0.00,0.00
"2011-04-20","risk_averse",908383.81,3704.60,0.00,936141.77,871661.44,241316.35,464910.07,20983.25,0.00,8568.63,873.20,808.18,8539.22,25855.25,8957.82,8431.66,7096.29,53174.43,58364.13,0.00
"2011-04-20","risk_neutral",1086883.08,22242.61,0.00,1400445.38,851643.45,0.00,0.00,1074638.36,0.00,0.00,0.00,0.00,0.00,0.00,8957.82,0.00,0.00,0.00,0.00,0.00
"2011-05-18","risk_averse",924007.73,4025.10,100.00,961714.47,878671.96,244954.95,441670.03,20826.34,33139.15,8091.28,832.71,849.33,8119.62,27148.84,9194.30,8395.63,7118.91,54621.84,58364.13,0.00
"2011-05-18","risk_neutral",1079588.64,17521.80,0.00,1344461.36,813202.92,0.00,0.00,1066602.32,0.00,0.00,0.00,0.00,0.00,0.00,9194.30,0.00,0.00,0.00,0.00,0.00
"2011-06-15","risk_averse",925504.03,3514.77,0.00,960248.80,889518.76,244381.60,451248.41,21297.07,31059.01,7794.51,802.11,821.99,7744.19,26120.60,8790.26,7832.08,6650.87,51777.64,58403.43,0.00
"2011-06-15","risk_neutral",1103789.41,17488.00,0.00,1363861.12,808572.84,0.00,0.00,1090710.45,0.00,0.00,0.00,0.00,0.00,0.00,8790.26,0.00,0.00,0.00,0.00,0.00
"2011-07-13","risk_averse",932255.13,3653.01,0.00,960529.07,892788.88,245043.16,450184.15,22110.16,32289.85,8155.67,823.88,830.67,7582.24,26535.21,9090.25,7931.53,6887.50,54449.77,59503.90,0.00
