"Time","Type","Expected Value","CVaR","Trading Cost","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2010-03-24","risk_averse",951843.51,8631.30,209.40,75997.26,566038.36,72592.12,0.00,0.00,0.00,0.00,32803.74,123111.97,0.00,0.00,0.00,77212.01,0.00,0.00
"2010-03-24","risk_neutral",559705.37,37001.84,1095.60,0.00,0.00,0.00,0.00,0.00,547801.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-04-21","risk_averse",960808.63,10829.65,100.00,76638.80,570547.87,76058.60,0.00,0.00,0.00,0.00,0.00,124031.51,0.00,0.00,0.00,110371.23,0.00,0.00
"2010-04-21","risk_neutral",569082.95,25110.25,1121.92,0.00,0.00,560958.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-05-19","risk_averse",968080.88,10104.65,50.00,76761.35,593158.92,78777.41,0.00,0.00,0.00,0.00,0.00,116710.57,0.00,0.00,0.00,99185.70,0.00,0.00
"2010-05-19","risk_neutral",590168.71,22955.39,0.00,0.00,0.00,581010.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-06-16","risk_averse",980821.79,8803.83,118.19,76775.76,654410.99,82923.59,0.00,0.00,0.00,0.00,0.00,118761.85,0.00,0.00,0.00,42730.05,0.00,0.00
"2010-06-16","risk_neutral",625650.71,26562.12,0.00,0.00,0.00,611590.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-07-14","risk_averse",991310.17,5595.04,100.00,78433.68,665442.35,80408.69,0.00,0.00,0.00,0.00,0.00,122149.92,0.00,0.00,0.00,38365.75,0.00,0.00
"2010-07-14","risk_neutral",603563.30,26196.41,0.00,0.00,0.00,593042.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-08-11","risk_averse",1007532.55,8702.87,225.34,79442.84,569109.08,80816.51,0.00,0.00,0.00,0.00,0.00,234693.95,0.00,0.00,0.00,39350.83,0.00,0.00
"2010-08-11","risk_neutral",611769.56,45681.85,1192.10,0.00,0.00,0.00,0.00,0.00,596049.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-09-08","risk_averse",1014615.77,5319.04,170.25,79846.51,635924.23,82719.68,0.00,0.00,0.00,0.00,0.00,196899.32,0.00,0.00,0.00,13149.71,0.00,0.00
"2010-09-08","risk_neutral",623494.01,23456.41,1230.95,0.00,0.00,615475.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-10-06","risk_averse",1049658.50,6210.97,179.93,43847.95,654793.61,88701.05,0.00,0.00,0.00,0.00,0.00,161416.37,0.00,0.00,0.00,13640.92,79930.81,0.00
"2010-10-06","risk_neutral",672004.10,23384.80,0.00,0.00,0.00,659979.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-11-03","risk_averse",1058455.57,12028.86,0.00,43801.47,654007.38,92507.38,0.00,0.00,0.00,0.00,0.00,167892.96,0.00,0.00,0.00,13987.75,83225.14,0.00
"2010-11-03","risk_neutral",698743.38,65544.79,1376.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,688300.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-12-01","risk_averse",1027995.82,9289.75,118.81,42294.95,628258.55,151368.21,0.00,0.00,0.00,0.00,0.00,166126.61,0.00,0.00,0.00,13956.37,21566.53,0.00
"2010-12-01","risk_neutral",658189.93,25819.84,1295.52,0.00,0.00,647761.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-12-29","risk_averse",1014554.50,10767.63,300.99,41892.18,611616.80,112383.29,0.00,0.00,0.00,0.00,0.00,61323.53,0.00,0.00,0.00,14748.90,113335.57,54665.32
"2010-12-29","risk_neutral",674309.17,45621.83,1313.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,656858.09
"2011-01-26","risk_averse",1014129.80,7433.05,257.32,74552.13,614172.03,105011.21,0.00,0.00,0.00,0.00,0.00,148585.77,0.00,0.00,0.00,15028.24,46215.48,5338.36
"2011-01-26","risk_neutral",692494.72,22167.14,1358.47,0.00,0.00,679234.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-02-23","risk_averse",1014410.99,9984.88,0.00,74401.16,610044.36,112055.65,0.00,0.00,0.00,0.00,0.00,149214.77,0.00,0.00,0.00,14543.31,44745.28,5330.91
"2011-02-23","risk_neutral",733112.68,30191.13,0.00,0.00,0.00,724799.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-03-23","risk_averse",1023221.55,10634.02,0.00,74682.51,611813.36,114185.36,0.00,0.00,0.00,0.00,0.00,151872.80,0.00,0.00,0.00,15120.83,46471.17,5302.07
"2011-03-23","risk_neutral",755984.80,54512.53,1477.15,0.00,0.00,0.00,0.00,0.00,738575.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-04-20","risk_averse",1038963.34,11021.25,0.00,75094.25,612337.51,120492.58,0.00,0.00,0.00,0.00,0.00,158162.79,0.00,0.00,0.00,16489.32,47461.95,5582.15
"2011-04-20","risk_neutral",791734.52,64038.87,0.00,0.00,0.00,0.00,0.00,0.00,782560.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-05-18","risk_averse",1062218.79,10050.58,0.00,76226.53,625375.73,119591.55,0.00,0.00,0.00,0.00,0.00,166076.00,0.00,0.00,0.00,16938.16,47461.95,5718.01
"2011-05-18","risk_neutral",758102.23,60760.58,0.00,0.00,0.00,0.00,0.00,0.00,746275.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-06-15","risk_averse",1073560.05,6413.01,50.00,76048.11,638938.09,122294.65,0.00,0.00,0.00,0.00,0.00,159786.01,0.00,0.00,0.00,16056.18,47493.91,5464.91
"2011-06-15","risk_neutral",732255.88,57411.39,0.00,0.00,0.00,0.00,0.00,0.00,718850.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-07-13","risk_averse",1078211.94,9645.64,0.00,76253.98,637431.16,126963.63,0.00,0.00,0.00,0.00,0.00,162322.30,0.00,0.00,0.00,16884.80,48388.82,5648.22
"2011-07-13","risk_neutral",749014.42,31621.96,1476.73,0.00,0.00,738364.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-08-10","risk_averse",1105375.14,10557.12,0.00,76308.88,667831.82,140233.38,0.00,0.00,0.00,0.00,0.00,151751.06,0.00,0.00,0.00,13939.10,45544.30,5099.21
"2011-08-10","risk_neutral",830296.71,30131.92,0.00,0.00,0.00,815535.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-09-07","risk_averse",1144670.24,8028.53,100.00,77818.59,685652.90,149325.62,0.00,0.00,0.00,0.00,0.00,108893.24,0.00,0.00,0.00,15189.89,94937.04,5291.83
"2011-09-07","risk_neutral",886558.48,30062.15,0.00,0.00,0.00,868411.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-10-05","risk_averse",1111667.96,6877.53,212.98,76260.84,682180.41,131796.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15065.91,192309.07,4775.40
"2011-10-05","risk_neutral",784196.75,24113.67,0.00,0.00,0.00,766469.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-11-02","risk_averse",1137615.21,8388.25,524.35,254257.17,576386.99,140970.59,87073.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15306.02,49567.86,5410.01
"2011-11-02","risk_neutral",835166.89,29600.97,0.00,0.00,0.00,819822.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-11-30","risk_averse",1126998.06,5575.05,352.24,152429.88,575609.59,139414.26,496.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16071.87,226014.49,5161.56
"2011-11-30","risk_neutral",830259.69,52454.69,1621.54,0.00,0.00,0.00,0.00,0.00,810771.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-12-28","risk_averse",1112302.44,5536.80,361.60,156179.97,584160.99,123441.42,497.94,0.00,0.00,0.00,0.00,180798.58,0.00,0.00,0.00,16315.12,37050.65,5420.24
"2011-12-28","risk_neutral",787353.13,21392.26,1543.34,0.00,0.00,771667.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2012-01-25","risk_averse",1135996.02,3624.18,290.98,159709.46,499554.97,77592.64,528.81,0.00,0.00,0.00,0.00,180048.29,0.00,0.00,0.00,74890.46,127735.87,5754.30
"2012-01-25","risk_neutral",877044.58,22249.11,0.00,0.00,0.00,858717.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2012-02-22","risk_averse",1149495.20,2661.04,185.05,110895.15,582991.54,80322.49,556.00,0.00,0.00,0.00,0.00,148354.50,0.00,0.00,0.00,77900.18,131815.44,5733.82
"2012-02-22","risk_neutral",913901.47,42435.13,1777.86,0.00,0.00,0.00,0.00,0.00,888928.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2012-03-21","risk_averse",1129021.79,5056.95,50.00,108966.12,569951.08,74076.21,555.41,0.00,0.00,0.00,0.00,152263.73,0.00,0.00,0.00,79160.21,130002.29,5822.22
"2012-03-21","risk_neutral",897227.88,34704.98,1743.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,871908.49,0.00,0.00,0.00,0.00,0.00
"2012-04-18","risk_averse",1148394.94,3515.13,100.00,110429.52,584434.31,24924.76,550.07,0.00,0.00,0.00,0.00,153513.26,0.00,0.00,0.00,127957.98,131452.81,5883.64
"2012-04-18","risk_neutral",906404.73,37938.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,887671.95,0.00,0.00,0.00,0.00,0.00
"2012-05-16","risk_averse",1150045.38,3671.94,100.00,110153.95,596087.48,0.00,517.61,0.00,0.00,0.00,0.00,175534.93,0.00,0.00,0.00,129525.03,124109.58,5755.23
"2012-05-16","risk_neutral",882818.02,34907.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,868503.59,0.00,0.00,0.00,0.00,0.00
"2012-06-13","risk_averse",1160570.19,2983.43,303.80,55987.15,598973.03,0.00,515.28,0.00,0.00,0.00,0.00,331216.38,0.00,0.00,0.00,130912.08,28282.96,5897.60
"2012-06-13","risk_neutral",910296.86,29456.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,889689.68,0.00,0.00,0.00,0.00,0.00
"2012-07-11","risk_averse",1184565.52,1014.89,300.75,7415.68,756175.41,0.00,523.97,0.00,0.00,0.00,0.00,237595.06,0.00,0.00,0.00,138313.21,28895.59,6133.95
"2012-07-11","risk_neutral",939809.28,36793.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,924999.83,0.00,0.00,0.00,0.00,0.00
"2012-08-08","risk_averse",1182676.51,2369.20,100.00,7433.70,745854.79,0.00,543.28,0.00,0.00,0.00,0.00,242049.12,29834.95,0.00,0.00,140621.43,0.00,6105.10
